title,year,duration,genre,rating,movie_url
Andrei Rublev ,1966,3h 25min,Biography,8.2,https://www.imdb.com/title/tt0060107/?ref_=adv_li_tt
Monty Python and the Holy Grail ,1975,1h 31min,Adventure,8.2,https://www.imdb.com/title/tt0071853/?ref_=adv_li_tt
V for Vendetta ,2005,2h 12min,Action,8.2,https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt
Колір повстання ,2006,2h 47min,Comedy,8.2,https://www.imdb.com/title/tt0405508/?ref_=adv_li_tt
Raging Bull ,1980,2h 9min,Biography,8.2,https://www.imdb.com/title/tt0081398/?ref_=adv_li_tt
Stalker ,1979,2h 42min,Drama,8.2,https://www.imdb.com/title/tt0079944/?ref_=adv_li_tt
There Will Be Blood ,2007,2h 38min,Drama,8.2,https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt
The Wolf of Wall Street ,2013,3h,Biography,8.2,https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt
Up ,2009,1h 36min,Animation,8.2,https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt
Gangs of Wasseypur ,2012,5h 21min,Action,8.2,https://www.imdb.com/title/tt1954470/?ref_=adv_li_tt
The Secret in Their Eyes ,2009,2h 9min,Drama,8.2,https://www.imdb.com/title/tt1305806/?ref_=adv_li_tt
Pan's Labyrinth ,2006,1h 58min,Drama,8.2,https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt
Warrior ,2011,2h 20min,Drama,8.2,https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt
Inside Out ,2015,1h 35min,Animation,8.2,https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt
Klaus ,2019,1h 36min,Animation,8.2,https://www.imdb.com/title/tt4729430/?ref_=adv_li_tt
Drishyam ,2015,2h 43min,Crime,8.2,https://www.imdb.com/title/tt4430212/?ref_=adv_li_tt
"Three Billboards Outside Ebbing, Missouri ",2017,1h 55min,Comedy,8.2,https://www.imdb.com/title/tt5027774/?ref_=adv_li_tt
M ,1931,1h 39min,Crime,8.3,https://www.imdb.com/title/tt0022100/?ref_=adv_li_tt
The Kid ,1921,1h 8min,Comedy,8.3,https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt
Metropolis ,1927,2h 33min,Drama,8.3,https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt
Bicycle Thieves ,1948,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt
Green Book ,2018,2h 10min,Biography,8.2,https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt
Double Indemnity ,1944,1h 47min,Crime,8.3,https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt
Citizen Kane ,1941,1h 59min,Drama,8.3,https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt
Ikiru ,1952,2h 23min,Drama,8.3,https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt
Singin' in the Rain ,1952,1h 43min,Comedy,8.3,https://www.imdb.com/title/tt0045152/?ref_=adv_li_tt
Vertigo ,1958,2h 8min,Mystery,8.3,https://www.imdb.com/title/tt0052357/?ref_=adv_li_tt
North by Northwest ,1959,2h 16min,Adventure,8.3,https://www.imdb.com/title/tt0053125/?ref_=adv_li_tt
The Apartment ,1960,2h 5min,Comedy,8.3,https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt
Lawrence of Arabia ,1962,3h 48min,Adventure,8.3,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt
